Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1	1130637500	7732071	905927	22612750	1.03921044543	1118887797
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1	870492500	5728455	777303	17409850	1.0079955887	861717974
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1	1411894900	8973315	1290388	28237898	1.00549049366	1397698431
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1	1168391750	7759820	941613	23367835	1.00744968458	1156620791
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1	1831752950	12183728	1361644	36635059	1.00178067135	1813402803
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1	1428744200	9707581	1003016	28574884	1.01570407075	1414232387
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1	930680000	6121373	766214	18613600	0.993705355224	921431783
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1	1080687500	7268441	794761	21613750	1.0078360303	1069795942
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1	1284332100	8986705	766329	25686642	1.03164633197	1271082335
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1	1308578700	8873040	855382	26171574	1.00451657971	1295433810
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1	1308626550	9154968	797558	26172531	1.03392782303	1295096296
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1	1210687400	8111993	896361	24213748	1.00399054289	1198532213
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1	1030406000	7132738	802598	20608120	1.03219779388	1019770172
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1	1022974200	7272381	637043	20459484	1.04569362551	1012277024
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1	1019607600	6855250	707021	20392152	0.993290359938	1009479936
