Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_screen	15245	15.24	94091	94.04	4	0.0	51	0.05	0	0.0
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_screen	19702	19.69	93525	93.47	1	0.0	36	0.04	0	0.0
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_screen	36388	36.34	89040	88.92	0	0.0	33	0.03	0	0.0
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_screen	25210	25.25	91998	92.13	4	0.0	29	0.03	0	0.0
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_screen	22082	22.07	92679	92.6	0	0.0	34	0.03	0	0.0
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_screen	18539	18.56	93522	93.6	6	0.01	28	0.03	0	0.0
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_screen	23183	23.16	92150	92.08	2	0.0	32	0.03	0	0.0
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_screen	19509	19.49	94120	94.05	0	0.0	27	0.03	0	0.0
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_screen	13665	13.68	95658	95.7	3	0.0	39	0.04	0	0.0
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_screen	20182	20.2	93814	93.92	3	0.0	34	0.03	0	0.0
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_screen	13111	13.13	94792	94.9	16	0.02	19	0.02	0	0.0
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_screen	20114	20.1	94706	94.65	1	0.0	23	0.02	0	0.0
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_screen	16714	16.71	95174	95.14	0	0.0	30	0.03	0	0.0
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_screen	11091	11.11	95874	96.06	4	0.0	45	0.05	0	0.0
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_screen	23663	23.67	92704	92.74	2	0.0	49	0.05	0	0.0
