Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	22612750.0	pass	fail	fail	42.0	57.9982360324	SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1.fq.gz	fail	pass
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.4817882737	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	22611997.0	pass	fail	fail	42.0	58.3596922172	SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_trimmed.fq.gz	fail	pass
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	17409850.0	pass	fail	fail	40.0	53.5393912612	SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1.fq.gz	fail	pass
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed	pass	0.0	warn	49.4978601138	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	17409103.0	pass	fail	fail	40.0	53.8370490847	SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed.fq.gz	fail	pass
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	28237898.0	pass	fail	fail	44.0	33.0214354047	SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1.fq.gz	fail	pass
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.4983923643	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	28237118.0	pass	fail	fail	44.0	33.3347748465	SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed.fq.gz	fail	pass
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	23367835.0	pass	fail	fail	43.0	45.7766671246	SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1.fq.gz	fail	pass
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.4975572489	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	23367096.0	pass	fail	fail	43.0	46.076423931	SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed.fq.gz	fail	pass
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	warn	36635059.0	pass	fail	fail	43.0	46.8475676613	SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1.fq.gz	fail	pass
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.5005977683	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	36633759.0	pass	fail	fail	43.0	47.1867603617	SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed.fq.gz	fail	pass
