Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_trimmed	368275	0	42.820325599	0	0	0	0	6798694	829861	0	7880429	0	15877259
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed	277977	0	51.1411788307	0	0	0	0	5807401	631612	0	4638636	0	11355626
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed	489793	0	50.2934257319	0	0	0	0	5811775	1009687	0	4244480	0	11555735
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed	578874	0	49.4883807119	0	0	0	0	6922260	963456	0	5523057	0	13987647
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed	926050	0	52.7772654459	0	0	0	0	13234416	1727233	0	9188280	0	25075979
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_trimmed	610060	0	54.4436417895	0	0	0	0	11273254	1303204	0	7519764	0	20706282
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_trimmed	464534	0	57.3554015419	0	0	0	0	6978781	863048	0	3861246	0	12167609
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_trimmed	644371	0	57.9786201558	0	0	0	0	9668724	1128536	0	5234730	0	16676361
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_trimmed	692470	0	48.3471146756	0	0	0	0	10461734	1294439	0	9190154	0	21638797
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_trimmed	756565	0	62.2909116122	0	0	0	0	12784013	1478439	0	5504062	0	20523079
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_trimmed	635317	0	53.3322025578	0	0	0	0	11602410	1240065	0	8277188	0	21754980
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_trimmed	474279	0	60.8324637412	0	0	0	0	10777176	1121299	0	5343405	0	17716159
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_trimmed	320370	0	59.325323167	0	0	0	0	9185532	946358	0	5031064	0	15483324
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_trimmed	407235	0	50.0194978115	0	0	0	0	8651779	971828	0	7265971	0	17296813
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_trimmed	605390	0	65.0931768386	0	0	0	0	9505058	1169595	0	3322191	0	14602234
