Sample	FastQC_percent_gc	FastQC_total_sequences	Cutadapt_percent_trimmed	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails	QualiMap_reads_aligned	Tophat_overall_aligned_percent	featureCounts_Assigned	featureCounts_percent_assigned	Tophat_aligned_not_multimapped_discordant	QualiMap_5_3_bias
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1	42.0	22612750.0	1.03921044543	42.0017639676	50.0	33.3333333333						
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_trimmed	42.0	22611997.0		41.6403077828	49.4817882737	33.3333333333	15877259.0	70.2	6798694	42.820325599	15040539.0	0.0
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1	40.0	17409850.0	1.0079955887	46.4606087388	50.0	41.6666666667						
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed	40.0	17409103.0		46.1629509153	49.4978601138	41.6666666667	11355626.0	65.2	5807401	51.1411788307	10717312.0	1.0
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1	44.0	28237898.0	1.00549049366	66.9785645953	50.0	50.0						
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed	44.0	28237118.0		66.6652251535	49.4983923643	50.0	11555735.0	40.9	5811775	50.2934257319	10534329.0	1.0
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1	43.0	23367835.0	1.00744968458	54.2233328754	50.0	41.6666666667						
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed	43.0	23367096.0		53.923576069	49.4975572489	41.6666666667	13987647.0	59.8	6922260	49.4883807119	13017179.0	1.0
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1	43.0	36635059.0	1.00178067135	53.1524323387	50.0	41.6666666667						
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed	43.0	36633759.0		52.8132396383	49.5005977683	41.6666666667	25075979.0	68.4	13234416	52.7772654459	23339725.0	0.0
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1	42.0	28574884.0	1.01570407075	52.7306385704	50.0	41.6666666667						
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_trimmed	42.0	28572867.0		52.3773392908	49.4953355223	41.6666666667	20706282.0	72.4	11273254	54.4436417895	19396505.0	1.0
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1	42.0	18613600.0	0.993705355224	52.2137069247	50.0	41.6666666667						
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_trimmed	42.0	18612545.0		51.890458126	49.5056764671	41.6666666667	12167609.0	65.3	6978781	57.3554015419	11298984.0	1.0
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1	43.0	21613750.0	1.0078360303	50.091483923	50.0	25.0						
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_trimmed	43.0	21612493.0		49.7773066189	49.498599907	25.0	16676361.0	77.1	9668724	57.9786201558	15543621.0	1.0
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1	43.0	25686642.0	1.03164633197	39.4906101927	50.0	16.6666666667						
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_trimmed	43.0	25685756.0		39.1889516223	49.4856227319	25.0	21638797.0	84.2	10461734	48.3471146756	20340739.0	0.0
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1	43.0	26171574.0	1.00451657971	52.775441951	50.0	25.0						
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_trimmed	43.0	26170245.0		52.4360748713	49.4999367411	33.3333333333	20523079.0	78.4	12784013	62.2909116122	19040722.0	1.0
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1	42.0	26172531.0	1.03392782303	41.3028436383	50.0	16.6666666667						
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_trimmed	42.0	26171026.0		41.0207689624	49.4856077098	25.0	21754980.0	83.1	11602410	53.3322025578	20510998.0	0.0
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1	40.0	24213748.0	1.00399054289	52.4915986923	50.0	50.0						
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_trimmed	41.0	24211908.0		52.2344948539	49.5015441988	41.6666666667	17716159.0	73.1	10777176	60.8324637412	16587837.0	0.0
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1	39.0	20608120.0	1.03219779388	50.710153882	50.0	33.3333333333						
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_trimmed	39.0	20606936.0		50.4042453466	49.4864891607	33.3333333333	15483324.0	75.1	9185532	59.325323167	14531679.0	0.0
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1	42.0	20459484.0	1.04569362551	39.4437560354	50.0	16.6666666667						
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_trimmed	42.0	20458486.0		39.1481115222	49.4792934824	25.0	17296813.0	84.5	8651779	50.0194978115	16322118.0	1.0
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1	42.0	20392152.0	0.993290359938	62.7253525497	50.0	33.3333333333						
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_trimmed	43.0	20390141.0		62.4254115722	49.507969219	33.3333333333	14602234.0	71.6	9505058	65.0931768386	13429705.0	1.0
