Module	Section	Sample Name	Source
featureCounts	all_sections	SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
featureCounts	all_sections	SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_trimmed	/scratch/rsh46/CTR-Data/CTR_fc287_0001/SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_trimmed_tophat.accepted_hits_merged.bam_featureCounts_counts.txt.summary
