Sample	unaligned_total	aligned_total	aligned_not_multimapped_discordant	overall_aligned_percent	aligned_multimap	aligned_discordant	total_reads	concordant_aligned_percent
SLX-9343.L2V18DRBC01.HGHVHBBXX.s_1.r_1_trimmed	6742224.0	15869773.0	15040539.0	70.2	829234.0	0	22611997.0	0
SLX-9343.L2V18DRBC02.HGHVHBBXX.s_1.r_1_trimmed	6060621.0	11348482.0	10717312.0	65.2	631170.0	0	17409103.0	0
SLX-9343.L2V18DRBC03.HGHVHBBXX.s_1.r_1_trimmed	16694082.0	11543036.0	10534329.0	40.9	1008707.0	0	28237118.0	0
SLX-9343.L2V18DRBC04.HGHVHBBXX.s_1.r_1_trimmed	9387094.0	13980002.0	13017179.0	59.8	962823.0	0	23367096.0	0
SLX-9343.L2V18DRBC05.HGHVHBBXX.s_1.r_1_trimmed	11567498.0	25066261.0	23339725.0	68.4	1726536.0	0	36633759.0	0
SLX-9343.L2V18DRBC06.HGHVHBBXX.s_1.r_1_trimmed	7873695.0	20699172.0	19396505.0	72.4	1302667.0	0	28572867.0	0
SLX-9343.L2V18DRBC07.HGHVHBBXX.s_1.r_1_trimmed	6450857.0	12161688.0	11298984.0	65.3	862704.0	0	18612545.0	0
SLX-9343.L2V18DRBC08.HGHVHBBXX.s_1.r_1_trimmed	4940679.0	16671814.0	15543621.0	77.1	1128193.0	0	21612493.0	0
SLX-9343.L2V18DRBC09.HGHVHBBXX.s_1.r_1_trimmed	4050933.0	21634823.0	20340739.0	84.2	1294084.0	0	25685756.0	0
SLX-9343.L2V18DRBC10.HGHVHBBXX.s_1.r_1_trimmed	5651368.0	20518877.0	19040722.0	78.4	1478155.0	0	26170245.0	0
SLX-9343.L2V18DRBC11.HGHVHBBXX.s_1.r_1_trimmed	4420280.0	21750746.0	20510998.0	83.1	1239748.0	0	26171026.0	0
SLX-9343.L2V18DRBC12.HGHVHBBXX.s_1.r_1_trimmed	6503292.0	17708616.0	16587837.0	73.1	1120779.0	0	24211908.0	0
SLX-9343.L2V18DRBC13.HGHVHBBXX.s_1.r_1_trimmed	5129356.0	15477580.0	14531679.0	75.1	945901.0	0	20606936.0	0
SLX-9343.L2V18DRBC14.HGHVHBBXX.s_1.r_1_trimmed	3164797.0	17293689.0	16322118.0	84.5	971571.0	0	20458486.0	0
SLX-9343.L2V18DRBC15.HGHVHBBXX.s_1.r_1_trimmed	5791043.0	14599098.0	13429705.0	71.6	1169393.0	0	20390141.0	0
